               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.047948,            0.078615,           0.0017489,             0.53874,             0.68125,             0.54727,              0.1947,            0.054154,            0.084824,          0.00080795,            0.005479,            0.005479,            0.005479
                 139,            0.045519,            0.084209,           0.0015303,             0.56837,             0.60779,             0.52337,             0.15941,             0.05779,            0.083161,            0.000771,            0.005446,            0.005446,            0.005446
                 140,            0.047632,            0.086427,           0.0014292,               0.552,             0.61269,             0.54925,             0.18693,            0.054483,            0.085186,          0.00075557,            0.005413,            0.005413,            0.005413
                 141,            0.045513,            0.082374,           0.0013937,             0.60137,             0.69449,             0.60093,             0.19617,            0.055976,            0.085294,           0.0007655,             0.00538,             0.00538,             0.00538
                 142,            0.044698,            0.079198,           0.0017211,             0.63083,             0.69332,             0.59601,              0.1844,            0.055737,            0.086907,          0.00086945,            0.005347,            0.005347,            0.005347
                 143,             0.04456,            0.082892,           0.0015715,             0.67362,             0.64425,             0.64115,             0.19558,            0.055235,            0.087212,          0.00090178,            0.005314,            0.005314,            0.005314
                 144,              0.0446,            0.079232,           0.0014064,             0.64222,             0.65865,             0.59484,             0.19749,            0.055784,             0.08696,          0.00080908,            0.005281,            0.005281,            0.005281
                 145,            0.043463,            0.077298,           0.0013193,             0.63506,             0.65686,             0.61692,             0.21457,            0.054871,            0.089053,          0.00076267,            0.005248,            0.005248,            0.005248
                 146,            0.044559,            0.087876,           0.0014281,             0.63619,             0.57968,              0.5775,             0.20588,            0.054717,            0.088318,          0.00075399,            0.005215,            0.005215,            0.005215
                 147,            0.044655,             0.08285,           0.0015088,             0.61501,             0.63158,              0.5725,             0.19176,            0.055143,            0.088197,          0.00080534,            0.005182,            0.005182,            0.005182
                 148,             0.04472,             0.07624,           0.0013452,             0.59962,             0.72363,             0.59007,             0.17525,            0.055957,            0.088335,          0.00078283,            0.005149,            0.005149,            0.005149
                 149,            0.044356,            0.080569,           0.0013216,             0.60541,             0.68137,             0.57399,             0.18753,            0.055211,            0.086001,          0.00075664,            0.005116,            0.005116,            0.005116
                 150,            0.044225,            0.087391,           0.0013863,             0.67698,             0.61342,             0.60552,             0.18384,            0.055591,            0.085709,           0.0008548,            0.005083,            0.005083,            0.005083
                 151,            0.043513,             0.08454,           0.0012182,             0.66951,             0.61508,             0.57074,             0.18584,            0.055721,            0.085947,           0.0011452,             0.00505,             0.00505,             0.00505
                 152,            0.042967,             0.08447,             0.00124,             0.65324,             0.62231,             0.57541,             0.18184,            0.055852,            0.087898,            0.001271,            0.005017,            0.005017,            0.005017
                 153,            0.043498,            0.075141,            0.001382,             0.59504,             0.64983,             0.54232,              0.1698,            0.056613,            0.090573,           0.0012673,            0.004984,            0.004984,            0.004984
                 154,            0.042995,            0.077573,           0.0012038,             0.58798,             0.66979,             0.58342,             0.17898,            0.056722,             0.09101,           0.0012915,            0.004951,            0.004951,            0.004951
                 155,            0.044008,            0.083493,           0.0013891,             0.62261,              0.6992,             0.60113,             0.19959,            0.055733,            0.091667,           0.0013385,            0.004918,            0.004918,            0.004918
                 156,            0.044855,            0.081935,           0.0011637,             0.49495,             0.70158,             0.54403,             0.17958,            0.057357,            0.089882,           0.0012531,            0.004885,            0.004885,            0.004885
                 157,            0.045104,            0.076416,           0.0014927,              0.5561,             0.59395,             0.55264,             0.18599,            0.055784,            0.090974,          0.00076043,            0.004852,            0.004852,            0.004852
                 158,            0.043918,            0.085347,           0.0011278,             0.58856,             0.66128,             0.57444,             0.18352,            0.056706,            0.088568,          0.00070939,            0.004819,            0.004819,            0.004819
                 159,              0.0434,            0.083309,           0.0014734,             0.62394,             0.63422,             0.59442,             0.19472,            0.054308,            0.087446,          0.00072057,            0.004786,            0.004786,            0.004786
